Pergunta,BLEU RAG Gemma Distiluse,ROUGE RAG Gemma Distiluse,METEOR RAG Gemma Distiluse,BLEU RAG Mistral Distiluse,ROUGE RAG Mistral Distiluse,METEOR RAG Mistral Distiluse,BLEU RAG Llama Distiluse,ROUGE RAG Llama Distiluse,METEOR RAG Llama Distiluse,BLEU RAG Gemma MiniLM,ROUGE RAG Gemma MiniLM,METEOR RAG Gemma MiniLM,BLEU RAG Mistral MiniLM,ROUGE RAG Mistral MiniLM,METEOR RAG Mistral MiniLM,BLEU FT Llama,ROUGE FT Llama,METEOR FT Llama,BLEU FT Gemma,ROUGE FT Gemma,METEOR FT Gemma,BLEU FT Mistral,ROUGE FT Mistral,METEOR FT Mistral,Answer relevancy RAG Gemma Distiluse,Faithfulness RAG Gemma Distiluse,Contextual precision RAG Gemma Distiluse,Contextual recall RAG Gemma Distiluse,Contextual relevancy RAG Gemma Distiluse,Answer relevancy RAG Llama Distiluse,Faithfulness RAG Llama Distiluse,Contextual precision RAG Llama Distiluse,Contextual recall RAG Llama Distiluse,Contextual relevancy RAG Llama Distiluse,Answer relevancy RAG Mistral Distiluse,Faithfulness RAG Mistral Distiluse,Contextual precision RAG Mistral Distiluse,Contextual recall RAG Mistral Distiluse,Contextual relevancy RAG Mistral Distiluse,BLEU RAG Llama MiniLM,ROUGE RAG Llama MiniLM,METEOR RAG Llama MiniLM,Answer relevancy RAG Mistral MiniLM,Faithfulness RAG Mistral MiniLM,Contextual precision RAG Mistral MiniLM,Contextual recall RAG Mistral MiniLM,Contextual relevancy RAG Mistral MiniLM,Answer relevancy RAG Llama MiniLM,Faithfulness RAG Llama MiniLM,Contextual precision RAG Llama MiniLM,Contextual recall RAG Llama MiniLM,Contextual relevancy RAG Llama MiniLM,Answer relevancy RAG Gemma MiniLM,Faithfulness RAG Gemma MiniLM,Contextual precision RAG Gemma MiniLM,Contextual recall RAG Gemma MiniLM,Contextual relevancy RAG Gemma MiniLM
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Pra quê serve a visita in loco?,0.0566549740157229,0.3111111111111111,0.2313439829605963,0.3587780306307216,0.5396825396825397,0.5588805638319139,0.0311122618683349,0.1032608695652173,0.2154159498464575,0.0566549740157229,0.3111111111111111,0.2313439829605963,0.299519318160136,0.4050632911392405,0.4420925444845092,0.0424026807523094,0.2352941176470588,0.2933999501427763,0.0,0.1963190184049079,0.1088082901554404,0.0735111471713045,0.2371134020618557,0.2602762130438586,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4444444444444444,0.0255366210976055,0.2016806722689075,0.269830146681927,1.0,1.0,1.0,1.0,0.5,1.0,0.9090909090909092,1.0,0.5,0.25,1.0,1.0,1.0,0.5,0.2727272727272727
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Como saber se meu curso passa por visita in loco?,0.0,0.1206896551724138,0.0856187012987013,0.2676578209744831,0.4881355932203389,0.4399375627263244,0.0121424328473303,0.0336134453781512,0.0591212421767814,0.3216478247430149,0.5032679738562091,0.4109840303426789,0.2785118472361203,0.5034013605442177,0.4516664257278333,0.0,0.1463414634146341,0.139009117779385,0.0210916908021564,0.25,0.1273857708982522,0.118842512049163,0.2588235294117647,0.2564381252343705,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,0.3333333333333333,0.8333333333333333,1.0,0.0,0.6,0.6666666666666666,1.0,0.5,0.5384615384615384,0.0272447319515387,0.0588235294117647,0.1143099068585944,1.0,1.0,1.0,1.0,0.0,1.0,0.2727272727272727,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1428571428571428
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Qual é o trâmite do processo que leva à visita in loco?,0.0090273776748859,0.271062271062271,0.1142955421444288,0.499869328679112,0.7304582210242587,0.4854023923307231,0.5031901715280784,0.723404255319149,0.4575209862204281,0.0462820774441493,0.3713798977853492,0.1626095399440887,0.6042145078614232,0.810880829015544,0.6652292883457525,0.0019852252965026,0.1287878787878787,0.078213899196042,0.0020887528102893,0.247104247104247,0.0863103293906996,0.5074797394989308,0.6112266112266111,0.5034418817102797,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.0,0.0,0.5,0.6,1.0,1.0,0.125,0.2072152800771935,0.4426877470355732,0.3229528439512554,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,1.0,0.8888888888888888,1.0,0.0,0.5
"Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Foi aberto um processo para reconhecimento/renovação de reconhecimento do meu curso, o que fazer?",0.1979242297125193,0.3923705722070844,0.3395682865286192,0.1931464030672832,0.3427672955974843,0.4280858175305872,0.0,0.0181405895691609,0.0650118203309692,0.1852253313194994,0.3321554770318021,0.3234825161465719,0.3562373809877605,0.5603644646924828,0.5938623187503659,0.0679299926124532,0.2182890855457227,0.226108806214907,0.1485296419240186,0.3430962343096234,0.2588178765644255,0.2889089765198815,0.4728682170542635,0.3379933349858161,1.0,0.9,1.0,1.0,1.0,1.0,0.5,0.8333333333333333,0.25,0.5714285714285714,0.1111111111111111,0.6666666666666666,1.0,0.6666666666666666,0.5,0.012193498492354,0.0334572490706319,0.0863918287458602,1.0,0.8571428571428571,1.0,0.75,0.75,0.75,0.1818181818181818,1.0,0.25,0.25,1.0,1.0,1.0,0.0,0.625
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Quais são as fases do processo de avaliação e o que devo fazer em cada uma dessas fases?,0.0,0.1338028169014084,0.2052607503776631,0.0285069127802189,0.1168831168831168,0.2541652652173707,0.0198962867601376,0.125173852573018,0.2660900791543384,0.0,0.1556420233463035,0.2419171220400728,0.0,0.1167883211678832,0.2853154855825082,0.2307377598404401,0.4210526315789473,0.3304576330011403,0.0,0.110091743119266,0.1828571428571428,1.0,1.0,0.9999989858814414,1.0,0.7272727272727273,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.4,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0,0.0578313253012048,0.0916590284142988,1.0,0.8888888888888888,1.0,0.0,0.6666666666666666,1.0,0.2857142857142857,1.0,1.0,0.2222222222222222,0.875,0.1111111111111111,1.0,0.5,0.2222222222222222
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Quais documentos preciso no momento do preenchimento do Formulário Eletrônico 1 (FE-1) e do Formulário Eletrônico 2 (FE-2) e no momento da visita in loco (fase 3).,0.2752294220130462,0.3789473684210526,0.3677628286803523,0.2559941771588218,0.5174418604651163,0.6232274106223687,0.1800345229581125,0.3651804670912951,0.5366673266830988,0.0,0.1858736059479553,0.2432053178196269,0.1580085042340186,0.3814713896457766,0.4805591559955753,0.0612521735101623,0.1705426356589147,0.283212521319767,0.0,0.1408450704225352,0.190722705282486,0.488936973998769,0.5657370517928287,0.5641426551043385,1.0,1.0,1.0,0.5,0.8181818181818182,0.9,0.8333333333333334,1.0,0.3333333333333333,0.1111111111111111,0.5,0.75,1.0,1.0,0.5,0.2524993646989827,0.4801762114537445,0.6325431296230966,0.8571428571428571,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,0.6,1.0,0.8181818181818182,1.0,0.6666666666666666,0.375
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Quem são os avaliadores que farão a visita in loco?,0.797608782157286,0.8860759493670886,0.9769990653462196,0.7238239395482446,0.8750000000000001,0.9741128880340272,0.3678951119256576,0.564516129032258,0.7129964693555914,0.797608782157286,0.8860759493670886,0.9769990653462196,0.797608782157286,0.8860759493670886,0.9769990653462196,0.0475350866963456,0.2608695652173912,0.1805832743191913,0.4271861643055105,0.6461538461538462,0.5017114259651354,1.0,1.0,0.9999872786484836,1.0,1.0,1.0,1.0,0.375,1.0,0.75,1.0,1.0,0.25,0.6666666666666666,0.6666666666666666,1.0,0.9565217391304348,0.4,0.43540765369452,0.6140350877192983,0.8584348177773784,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.5,0.2,1.0,0.5,1.0,0.5,0.25
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Como é feito o contato com o avaliador?,0.8634982146929608,0.953846153846154,0.9896039603960396,1.0,1.0,0.9999814814814816,0.0981727938617275,0.1877551020408163,0.5224762374830803,0.8634982146929608,0.953846153846154,0.9896039603960396,1.0,1.0,0.9999814814814816,0.4125695036663959,0.5333333333333333,0.5523686902941751,0.3222483378120191,0.4516129032258064,0.4874973871237458,0.1559936000209016,0.3370786516853933,0.5049703706301063,1.0,1.0,1.0,1.0,0.4285714285714285,0.8,0.4,1.0,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.5,0.1888657589080895,0.3366336633663366,0.5537280701754386,1.0,0.5,1.0,1.0,0.5,1.0,0.6,1.0,1.0,0.25,0.6666666666666666,0.3333333333333333,1.0,1.0,0.25
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) O que deve fazer o coordenador de curso?,0.3383815955042492,0.4854368932038834,0.7318127769970815,0.0401204525259023,0.1048951048951049,0.2270567328921535,0.0,0.0309050772626931,0.065359477124183,0.1418000705805137,0.4360902255639098,0.4714189074919668,0.0885296467591989,0.2304526748971193,0.2937176867843465,0.2556831872426573,0.3859649122807017,0.2503950879556464,0.0,0.21875,0.3194154167691173,0.2531498252660811,0.4814814814814815,0.3177664594412403,1.0,0.75,1.0,1.0,1.0,1.0,0.2,1.0,0.5,0.1666666666666666,0.5,0.1111111111111111,1.0,1.0,0.75,0.1152509991724947,0.2801932367149758,0.3626385679422271,0.9,0.875,1.0,1.0,1.0,0.8571428571428571,0.6,1.0,0.5,0.25,0.7142857142857143,0.5714285714285714,1.0,0.5,0.25
Sobre Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC) Como é estabelecido o cronograma da visita?,0.1414146976715144,0.410958904109589,0.2657829751780768,0.748876367011415,0.8932038834951458,0.8622658508988812,0.1281962383248869,0.3148936170212766,0.4759268180621907,0.1414146976715144,0.410958904109589,0.2657829751780768,0.6944705317220822,0.8571428571428571,0.8394020440604246,0.162742348279385,0.3137254901960785,0.2552208835341365,0.0,0.1590909090909091,0.0943396226415094,0.6298188817205036,0.74,0.7623428291326105,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.5,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,0.5,0.1910097753394917,0.4,0.5616949152542373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.0,1.0,1.0,0.6666666666666666
